packageName,title,descriptionHtml,
com.chipkin.CASModbusScanner,CAS Modbus Scanner,"CAS Modbus Scanner is a utility to retrieve coils, inputs, holding registers, and input registers from a Modbus-enabled device. Values retrieved from the device can be viewed in many different formats, including Binary, HEX, Uint16, Int16, Uint32, Int32, and Float32.This utility can also discover Modbus devices on your network if you do not know their address. It works by testing every address, function, length, and offset to check for exceptions or responses.",
com.ckc_net.my_tech_connect,MyTechConnect,"MyTech-Connect is the combination of an application to remotely control your devices, and a Technicentre made up of experienced technicians, trained on your products, ready to answer all your questions about use, upkeep, maintenance and troubleshooting.The MyTech-Connect App :With the MyTech-Connect application , you can safely control and manage your connected equipment equipped with the MyTech-Connect regulation module (residential heating and air conditioning systems, lighting system, heating and water treatment systems for swimming pool, photovoltaic installation, etc. ). Make sure your product has the MyTech-Connect Inside logo on its packaging.A quick installation and user guide is supplied with the Mytech-Connect . Additional information is available on the website: www.Mytech-connect.com including product tutorial videos, a list of compatible devices and videos to go further in the configuration.The MyTech-Connect application ensures intuitive use and the most modern design; it is very easy to use it.The application allows for example the remote control of a heat pump via a smartphone or tablet thanks to an intuitive interface: status of the machine, reading of all temperatures, operation of the circulation pump, modification of the temperature of the heating setpoint, choice of operating mode, alerts, programming of operating ranges, etc.It is also possible to control lighting, automatic watering, a robot, a thermodynamic tank for domestic hot water, etc.It also has in its parameters a vacation mode, which requires the start date and the end date of vacation as input data. You can also incorporate other events such as holidays or other stay-at-home days.For this, a WiFi box is installed as standard inside your equipment.All you have to do is connect it to your WiFi network by scanning the machine&#39;s QR code, entering the network&#39;s security code and pressing the button on the WiFi box to pair.MyTech-Connect &#39;s advanced logic allows it to communicate intelligently with the various connected devices, allowing it to optimize the operation of your heating, air conditioning or lighting installation.The Technicentre:Behind the Mytech-connect application , a technicentre made up of the most responsive technicians, trained regularly on your products, to ensure the proper functioning of your equipment throughout its lifespan. In the event of a breakdown on your connected equipment, you will be notified by the technicentre and you will benefit from fast and efficient remote troubleshooting without even moving a single finger.Behind the Mytech app connect there is a powerful team to meet your needs and offer you the best service, and never any robots asking you a bunch of useless questions.MyTech-Connect is compatible with the biggest European brands of heat pumps, water treatment, heating or cooling systems, etc.In order to ensure a complete follow-up, all the technical operating data of the devices connected to MyTech-Connect are stored for 5 years:• the history of all alarms• internal sensor temperature probes• the operating time of compressors, pumps, lamps, etc.• user settingsOur technicians are there to monitor your equipment. They constantly monitor all connected devices, and are notified in real time of the slightest fault.They can take control remotely to modify parameters in order to optimize performance according to your needs, make updates, verify proper operation and perform remote diagnostics, from our offices. As a result, we are more responsive, no need to send a technician on site to check the device, it saves time and money.The Technicentre is also present to support you in the use and optimization of your products, to advise you by anticipating changes in the weather, for example, to send you user and maintenance manuals, to remind you of the dates of verification of your products,...",
com.ckc_net.polytropic,Polyconnect,"POLYTROPIC&#39;S CONNECTED SOLUTION AT THE SERVICE OF PROFESSIONALS AND INDIVIDUALS.More than just an ordinary heat pump management tool, PolyConnect communicates directly with the POLYTROPIC Technicenter and allows the secure remote management of heat pumps: supervision, preventive maintenance and ease of maintenance.SIMPLIFIED IMPLEMENTATIONA WiFi box is installed as standard inside all our Inverter PACs (marketed in 2022), and easily accessible by a side hatch.All you have to do is connect the heat pump to the customer&#39;s WiFi network by scanning the machine&#39;s QR code, entering the network&#39;s security code and pressing the button on the WiFi box to pair.REMOTE MANAGEMENTA real preventive maintenance tool, the information is transmitted to our TechniCenter which can then anticipate any problems remotely, access the parameters and adjust, optimize or even update the heat pump.The Mod Bus connection allows access to all the heat pump parameters and modification in &quot;direct mode&quot;.PROACTIVITYThanks to the feedback of error codes, the TechniCenter can remotely trigger an appropriate after-sales service procedure immediately, even before the user of the pool notices a possible problem or its consequences.EXPERT TIPSThe TechniCenter is at your disposal for advice on the rational management of your pool fleet and possible energy savings .EFFICIENCYPolyConnect is linked to the POLYTROPIC TechniCenter and allows our technicians to visualize the entire fleet of heat pumps as well as the status of each machine.In the event of an error code, they can access the device settings via their secure interface in order to resolve the fault. No need to send a technician to the installation to see what the problem is, to collect simple information or to make adjustments to the devices.POLYCONNECT IS A SECURE, FREE AND ERGONOMIC APPLICATION.It allows remote control of the heat pump via a smartphone or tablet thanks to an intuitive interface: status of the machine, water temperatures, outside temperature, operation of the filtration pump, heating setpoint temperature, choice of operating mode, alerts, programming of operating ranges...In order to ensure a complete follow-up, all the data of the heat pumps connected to PolyConnect are stored for 5 years:• the history of all alarms• internal sensor temperature probes• the operating time of compressors, pumps, etc.• user settingsPolyConnect was developed by our internal services and all our serversare based in France (GDPR law respected).An open system and a solid partnership PolyConnect is compatible with our equipment and offers the possibility of remotely managing water treatment with salt or chlorine via the mobile application, presenting the same functionality and history as for pumps Polytropic heat",
com.codra.panoramamobile,Codra - Panorama Mobile for Panorama E² SCADA,"Panorama Mobile is the extension of the Panorama E2 SCADA solution for smartphone and tablet.It allows you to use contextualized SCADA applications in a mobile context.With a fully customizable content, Panorama Mobile will allow your field operators to use intuitive and ergonomic interfaces. It will facilitate rapid decision making, improve collaboration between teams and help reduce operating costs.Panorama Mobile provides a set of independent and combinable functions for: - Display animated mimics,- View and process alarms and notifications- Tracking Indicators / KPIs- View data in the form of trends. Better local information management means improved reactivity and productivity.Important note: Before any use, Panorama Mobile requires access to one of your Panorama E2 servers or an account provided by Codra.For more information, contact us at communication@codra.frPanorama Mobile 2.2.7: Improved operation in case of server redundancy.Panorama Mobile 2.2.3 (Evolution):The new features are only available with Panorama Suite 2019.Addition of many new features :- The single access views that can be consulted by only one user at the same time.- It’s now possible to show/hide the banner and side menu buttons.- The new &quot;Home view&quot; button opens the main synoptic.- The new QRCode and Geolocated View command functions can be added on a graphic tile.Panorama Mobile 2.0.4 (Evolution):This update is necessary to ensure compatibility with version 17.00.010 + PS2-1700-05-1024 of Panorama.Novelty:- It is now possible to embed PDF tiles in a mobile mimic.- It is now possible to use the new type of &quot;List&quot; tile that can contain cursor and text graphic tiles.Panorama Mobile Server (Enhancement):- Exchanges with mobile customers consume much less data",
com.commobile,ControlMachines™ Mobile App,"ControlMachines™ is a SCADA/HMI software which focus on ease of use, security and functionality. This mobile version of ControlMachines™ is a simple app which allows users to see project alarms and their KPI real time value its history trend. A user account on https://controlmachines.cloud with permission to use the mobile app is required.",
com.cybrodroid,CyBro Mini Scada,"CyBro Mini Scada is visualization system for Cybro programmable controllers. It can be used for industry, solar plants, building management, home automation, or any other application where Cybro controllers are used. Both Cybro-2 and Cybro-3 are supported.Screen layout is defined by configuration (config.xml) and image files (jpg/png). Application offer canvas and list rendering options. Both local (phone—cybro) and internet (phone—server—cybro) connection is supported. When started for the first time, default configuration is automatically activated (make sure Home network is set to None).The following demo configurations are available:• default - scene, home plan and industry• wooden - scene, alternate visual style• bargraph - multicolor bargraph with cover• pagemenu - page selection menu• solar - solar plant, list mode is usedTo try out, read configuration from www.solar-cybro.com.To explore how the given function is realized, each configuration can be downloaded to PC:http://www.solar-cybro.com/data/default.zipFor other configurations, replace default.zip with the configuration name (wooden.zip, bargraph.zip...).For more information about Mini Scada, Cybro controllers and other products, open http://www.cybrotech.com.",
com.datakom,datakom,"All your devices online now !• Rainbow SCADA is Internet-based universal remote monitoring and control software• Each type of control module can be integrated regardless of the manufacturer or function• Plug-and-play with push structure• Single server supports up to 60’000 devices• Provides data security, data is sent to only server• Uses internet-based interactive World map• Real time display of status of devices are shown on the map, and on side panel• Hierarchical configuration and clustering• Remote control of devices• Supports all Datakom products, which are integrated with DKG 210 gateway• Supports all devices, which supports Modbus protocol, by integrating DKG 210 gateway• Data recording, analysis and reporting• Tablet and smartphone interfaces",
com.deepforkautomation.DeepForkSCADA,Deep Fork SCADA,"Deep Fork Automation SCADA:Remotely monitor your equipment, get alerts, and view historical graphs.Hand enter data, make comments and track progress.Contact us for more information.www.DeepForkAutomation.com",
com.deltaww.smartviewer,Delta Smart VIEWer,"With Delta Smart VIEWer, Users can monitor and edit PLC and Modbus data via Wifi. With the monitored data shown in run charts, users can easily and quickly master the current status and recorded trends of the equipment for proper on-site adjustment.Main Functions:1. Monitors and edits PLC and Modbus data via Wifi connection2. Monitored data is displayed and edited in run charts with clear data trends3. Monitored data is saved for adjustment references4. Connects Delta PLCs for detailed information via Wifi connection5. Allows connection setting and data export/import for easy and fast monitoring",
com.devoted.comp.herald,Herald,"The Herald android app is an integral part of the Herald industrial IoT platform, a cloud based SCADA solution with web and mobile clients.Following field devices can be integrated with the platform:• Siemens Simatic S7-1200 / S7-1500 PLCs,• devices supporting the MQTT communication protocol (gateways),• devices capable of http based communication (API integration).All setup is done online through the Herald web dashboard (www.heraldservices.net).The app allows users to receive real-time notifications on events inside their industrial plants and facilities, office buildings, smart homes etc.From within the app, notifications can be:• filtered and searched,• expanded to show more information,• owned or deferred to other users (for example when maintenance action is required).Aside from notifications, users can also see Alarms table from a selected industrial plant and facility, office building, smart home etc.. Alarms can be:• filtered and searched,• expanded to show more information,• acknowledged (this way, commands can be sent to the field device, if so configured).Herald app can help you prevent and lower downtimes as well as increase the safety and efficiency of your production process!",
com.elecsyscorp.brunfmang.watchdogpc,ELECSYS CONNECT,"Elecsys is a leading provider of innovative M2M (machine-to-machine) technology solutions and custom electronics for critical industrial applications. Elecsys systems enable customers to gain visibility and control of field assets to increase efficiency, enhance safety, and maximize productivity. Our award-winning products can be flexibly integrated into any system and can communicate via MODBUS into existing SCADA, or via cellular or satellite telemetry into our user-friendly data management system.With tens of thousands of systems deployed in over a dozen countries, Elecsys M2M solutions have been field-proven in harsh and remote environments to provide simple, yet powerful, end-to-end solutions incorporating rugged field hardware, wireless communication systems, data management applications, and flexible data interface options.REQUIREMENTS:   Elecsys Remote Monitoring Products (http://www.elecsyscorp.com/products/) Minimum Android Version: 4.4KEY FEATURES: - Access to critical data anytime- Real-time monitoring and control- Mapping feature shows sites in alarm and in normal condition- Displays historical data- Graphical data display- Fully configurable site and unit information- Monitor sensors- Fully hosted solution- GPS locating feature -- find remote sites easily- Notes/Comments area  CATHODIC PROTECTION FEATURES- Full interruption capabilities- View history- Receive immediate text or email alerts for:     •	Power failure     •	DC Volts     •	DC Amps     •	Potential     •	DC Pipe to Soil     •	AC Pipe to Soil     •	Native Potential     •	DC Instant Off     •	AC Current Density     •	DC Current Density  SENSOR/TRANSDUCER FEATURES - Receive instant email or text status notifications- Fully configurable limits and thresholds can be set for each sensor- Monitor any of the following:      •	4-20mA sensors     •	0-5V sensors     •	0-10V sensors  RAIL LUBRICATION FEATURES- 24/7 monitoring and management of:     •	Top of rail friction On/Off pump control     •	Gauge face lubrication systems     •	Power status     •	Tank levels     •	Pump &#39;on&#39; time/revolutions     •	Dispensed material volume     •	Wheel/axle count     •	Enable/disable pump operation- View historical data",
com.elipse.mobile,Elipse Mobile,"Elipse Mobile is a platform to integrate industrial automation systems (SCADA, DCS, etc.). With Elipse Mobile you can monitor and control the process in an easy and secure way, by accessing it from many different devices.To use Elipse Mobile Client you need an Elipse Mobile Server. If you do not have one, please click Try it on the login screen to connect to our Mobile Server Demo and check a fully functional application. You can also download Elipse Mobile Server at our website and learn how to configure a new application to connect to your existing SCADA system using OPC standard connections, among other options.",
com.embarcadero.hawkeyelite4b,Hawkeye Lite Ver 2,"HawkEye Lite is your mobile interface for your Hawk SCADA system, and puts the ability to monitor and control your system at your fingertips. Monitor system data, issue control actions, and produce trend charts, right on your Android or iOS device. A multi-user interface, as many people as you like can have the app, and access your system simultaneously. With case sensitive username and password entry, and device recognition, HawkEye Lite is a safe, secure, and effective way to access your SCADA system on the go. Please call Hawk SCADA at 1-877-700-HAWK or visit www.hawkremote.com for more information on HawkEye Lite and our Hawk SCADA systems.",
com.emerson.gasdetectapp,MRLDS 400,"The Emerson MRLDS 400 App allows users to configure, maintain and interface with compatible MRLDS-400 Gas detectors. Once a Bluetooth connection has been established, the app replaces the need for specialty training/tools and makes compliance with safety standards (ASHRAE 15, EN 378) easy and effective. Features include:-Configuration (Rename device, define alarm thresholds, adjust Modbus settings, configure relay behavior and manage analog output settings.)-Maintenance (test LED/buzzer function, relays, and analog output level.)-Calibration (View sensor type, serial number and “Calibration Due” timer and initiate zero / span calibrations with customizable field calibration certificate.)-Intuitive Interface (view current gas measurement and acknowledge alarm/fault status.)",
com.envest.aquaCnt.config,"AQUA CNT Config
1.0.0","AQUA CNT Config Uygulaması, su kaynaklarınızın izlenmesi ve kontrol edilmesi için güçlü bir araçtır. Su seviyelerini, basınçları ve debileri izlemek için kullanıcı dostu bir platform sunar. Ayrıca, MODBUS TCP Master ve Slave haberleşme protokolünü destekler ve aynı anda en fazla 5 bağlantıya izin verir. Ayrıca LoRa ve GSM desteği ile su kaynaklarınızı uzaktan yönetmenize imkan sağlar.",
com.envest.korubin.wms,Koru1000 WMS,"Korubin, su sistemleri (her tipte) için kontrol noktalarını otomatize etmek ve yönetmek için dizayn edilmiş olup, kontrol cihazları ve web tabanlı merkezi SCADA yazılımından oluşan tam teşekküllü bir hidroloji sistemidir. Korubin, ilk olarak su sondaj kuyuları için dizayn edilmiştir. Daha sonrasında geliştirilerek, terfi merkezleri, depolar, klorlama istasyonları, isale hatları, klorlama tesisleri, atıksu istasyonları, atıksu rezervuarları, kanalizasyon hatları kontrol noktalarına montaj edilen yeni farklı modelleri de eklenmiştir.Korubin cihazlarının genel amacı sadece kontrol ve yönetim değildir. Her bir Korubin modeli uygulanacağı noktadaki karşılaşılabilecek durum göz önüne alınarak, en iyi şekilde kullanıcılara hizmet etmek üzere dizayn edilir. Kontrol noktalarında personel bulunmadığı ve personel gidişinin de çok zor olduğu hesaplanarak, alınabilecek tüm veriler doğrudan veya sensörlerler alınır ve kontrol edilebilecek tüm özellikler kontrol edilir. Bütün kontrol noktalarında enerji verimliliği ile ilgili tüm unsurlar düşünülmüştür. Verimlilik ile ilgili detaylı bilgilere ulaşılabilmesi ve basitçe kullanıcıların anlayabilmesi için çeşitli raporlama ve grafikleme yazılımları sağlanır. Kontrol noktalarındaki cihazların hiçbir insan müdahalesi olmadan yönetilebilmesi ve kendi kendine en iyi ve en optimum şekilde işleyebilmesi, arıza durumunda kendi önlemlerini alabilmesi ve sadece arıza yada özel durumlarda uyarı ve servis personeli talebi yapması ana hedeftir.Yönetebildiği bazı istasyonlar şu şekildedir;Sondaj Kuyuları, Su Depoları, Terfi İstasyonları, DMA istasyonları, BKV istasyonları, Katotik İstasyonları, Redresör İstasyonları , Tarımsal Sulama İstasyonları vb.",
com.epal.wone,WONE App,"Esta aplicação está associada ao software de gestão de controlo de perdas de água WONE, desenvolvido pela EPAL, que permitiu que Lisboa se posicionasse como uma das cidades mais eficientes da Europa. Através desta app é possível controlar o desempenho dos sistemas de monitorização associados a redes de abastecimento de água, facilitando a identificação de falhas de comunicações e de integração de dados nos sistemas de telemetria, SCADA, etc. Permite ainda avaliar o desempenho das Zonas de Monitorização e Controlo ao nível das perdas de água, permitindo priorizar intervenções de deteção de fugas. Com a WONE app, a Entidade Gestora pode fazer a gestão da atividade de controlo ativo de fugas, permitindo-lhe comunicar a ocorrência de roturas e avarias, cujas reparações podem ser acompanhadas em contínuo, e avaliar os ganhos alcançados com cada campanha. Para aceder é necessário um login e uma password, os quais devem ser solicitados à EPAL.",
com.et_solscadabeta,ET-SOL SCADA (Beta),"ET-Sol SCADA designed to monitor multiple plants with a single user accountET-Sol SCADA is designed to monitor multiple plants using a single user account. Using coloring logic to indicate different alerts on the home screen provides the health of the plant on fingertips. The SCADA also has a mini-ticketing system tightly integrated with Alert Logic.In addition to the inverter, SCB, and weather station, we can also monitor transformer, energy meter, and VCBs.The ET-Sol SCADA also provides energy generation, radiation, inverter and SCB current output using graphs like the previous SCADA. The user can download different kinds of reports, graphs, etc.",
com.fernhillsoftware.fernhillscada,Fernhill SCADA,"Fernhill SCADA is a free SCADA Operator Interface App for your Fernhill SCADA Server(s) providing access to:Graphic pages* Display plant and equipment states* Issue controls (if authorized), navigate between pages and other displays.Trends* See the history of tag values using one or more pens.* Scroll back and forward in time, zoom in, zoom out.Alarm list* See abnormal equipment states from a single list.* Acknowledge alarms remotely (if authorized).Event list* A time-stamped audit-trail of events (equipment state changes, alarms, user actions).Data lists* View custom data queries for example tag lists, PLC status lists.Fernhill SCADA only uses Transport Layer Security (Secure Sockets) to access your Fernhill SCADA Server, ensuring your data remains private and secure.",
com.forthreal.meteringapp,MeteringApp,"This application allows to connect to the data collected and processed by MeteringApp cloud. It will help depict data collected from remote locations by forthreal devices and from other 3rd party systems and sources (such as billing systems, SCADA systems, ERP systems, etc).",
com.futuretech.avnscada,AVNSCADA,AVNSCADA APP is useful for connected the electronic device by using the tcp-ip network communication. This app is also useful for set some parameter in electronic device and also get some parameter via TCP-IP network communication.,
com.geepy.connect,Geepy Connect,"Geepy Connect is a mobile operator for the Internet of Things (IoT),  industry (IIoT) and  critical  infrastructure (SCADA).In a single platform you can find different ways to connect your devices smartly and easy. Our  connectivity can be managed by hand by our users, supported by artificial intelligence that  optimized processes and helps save time and money.Enjoy global GSM multi-operator connectivity with coverage in +180 countries, eliminating  roaming costs. It can also provide satellite connection to devices that operate with the Iridium  network. We will soon provide connectivity for Globalstar, WiFi, SigFox and LoRaWan modules.With robust robotic process, our Geepy Connect platform makes things work well and  follow clear, precise, and  effective business rules,  our helping business partners to generate greater benefits for their  companies and clients.",
